ip,type,is_cidr,sources,source_count,category,confidence,first_seen,last_seen
1.168.108.213,ipv4,False,AbuseIPDB|RTBH (Turkiye),2,crowd-sourced,40,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.168.108.9,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.168.126.244,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.168.76.57,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.169.210.90,ipv4,False,RTBH (Turkiye)|Stamparm IPsum,2,government-feed,40,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.169.227.57,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.173.64.138,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.173.68.75,ipv4,False,AbuseIPDB|RTBH (Turkiye),2,crowd-sourced,40,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.173.83.174,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.175.133.33,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.175.135.121,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.178.120.147,ipv4,False,CINS Army,1,scanner,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.178.214.92,ipv4,False,Blocklist.de (all)|Blocklist.de (ssh),2,attacker,40,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.180.246.242,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.182.192.27,ipv4,False,Blocklist.de (all)|Blocklist.de (mail),2,attacker,40,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.182.193.15,ipv4,False,Blocklist.de (all)|Blocklist.de (mail),2,attacker,40,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.19.0.0/16,ipv4,True,Spamhaus DROP,1,infrastructure,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.192.177.51,ipv4,False,CINS Army,1,scanner,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.192.216.192,ipv4,False,CINS Army,1,scanner,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.192.80.87,ipv4,False,AbuseIPDB|RTBH (Turkiye),2,crowd-sourced,40,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
